"","country","ISO3","continent","subcontinent","status","expenditure","youth_unempl_rate","net_migr_rate","low_yu","high_nmr"
"95","Indonesia","IDN","Asia","South-eastern Asia","LM",3.6,16.5,-1.1,"no","no"
"96","Iran","IRN","Asia","Southern Asia","LM",4,27.6,-0.3,"no","no"
"97","Iraq","IRQ","Asia","Western Asia","UM",.,25.6,-0.5,"no","no"
"98","Ireland","IRL","Europe","Northern Europe","H",3.5,13.8,3.9,"no","yes"
"99","Isle of Man","IMN","Europe","Northern Europe","H",.,10.1,5.2,"no","yes"
"100","Israel","ISR","Asia","Western Asia","H",6.1,7.2,2.1,"yes","yes"
"101","Italy","ITA","Europe","Southern Europe","H",4,32.2,3.2,"no","no"
"102","Jamaica","JAM","Americas","Latin America and the Caribbean","UM",5.2,24.2,-9.4,"no","no"
"103","Japan","JPN","Asia","Eastern Asia","H",3.2,3.6,0,"yes","no"
"104","Jersey","JEY","Europe","Northern Europe",.,.,.,2.3,.,"no"
"105","Jordan","JOR","Asia","Western Asia","UM",3.1,35.6,-11.3,"no","no"
"106","Kazakhstan","KAZ","Asia","Central Asia","UM",2.6,3.8,0.4,"yes","no"
"107","Kenya","KEN","Africa","Sub-Saharan Africa","LM",5.3,7.4,-0.2,"yes","no"
"108","Kiribati","KIR","Oceania","Micronesia","LM",.,17.1,-2.8,"no","no"
"109","Korea, North","PRK","Asia","Eastern Asia","L",.,.,0,.,"no"
"110","Korea, South","KOR","Asia","Eastern Asia","H",4.3,10.2,2.3,"no","yes"
"111","Kosovo","XKS",.,.,.,.,55.4,-1.8,"yes","yes"
"112","Kuwait","KWT","Asia","Western Asia","H",.,15.4,-3.3,"no","no"
"113","Kyrgyzstan","KGZ","Asia","Central Asia","LM",6,14.2,-5,"no","no"
"114","Laos","LAO","Asia","South-eastern Asia","LM",2.9,18.2,-1,"no","no"
"115","Latvia","LVA","Europe","Northern Europe","H",4.4,12.2,-5.9,"no","no"
"116","Lebanon","LBN","Asia","Western Asia","UM",2.5,.,-88.7,.,"no"
"117","Lesotho","LSO","Africa","Sub-Saharan Africa","LM",7,34.4,-6.1,"no","no"
"118","Liberia","LBR","Africa","Sub-Saharan Africa","L",2.6,2.3,-2.9,"yes","no"
"119","Libya","LBY","Africa","Northern Africa","UM",.,48.7,-0.7,"no","no"
"120","Liechtenstein","LIE","Europe","Western Europe","H",2.6,.,4.9,.,"yes"
"121","Lithuania","LTU","Europe","Northern Europe","H",3.8,11.1,-5.9,"no","no"
"122","Luxembourg","LUX","Europe","Western Europe","H",3.6,14.2,13.3,"no","yes"
"123","Macau","MAC","Asia","Eastern Asia","H",2.7,5.3,3.3,"yes","yes"
"124","Macedonia","MKD","Europe","Southern Europe","UM",.,45.4,0.4,"no","no"
"125","Madagascar","MDG","Africa","Sub-Saharan Africa","L",2.8,1,0,"yes","yes"
"126","Malawi","MWI","Africa","Sub-Saharan Africa","L",4.7,40.5,0,"no","yes"
"127","Malaysia","MYS","Asia","South-eastern Asia","UM",4.2,10.5,-0.3,"no","no"
"128","Maldives","MDV","Asia","Southern Asia","UM",4.1,15.9,-12.7,"no","no"
"129","Mali","MLI","Africa","Sub-Saharan Africa","L",3.8,16.9,-3.9,"no","no"
"130","Malta","MLT","Europe","Southern Europe","H",4.8,9.1,6.6,"yes","yes"
"131","Marshall Islands","MHL","Oceania","Micronesia","UM",.,11,-4.5,"yes","no"
"132","Mauritania","MRT","Africa","Sub-Saharan Africa","LM",1.9,15.2,-0.8,"no","no"
"133","Mauritius","MUS","Africa","Sub-Saharan Africa","UM",4.7,23.9,0,"no","yes"
"134","Mexico","MEX","Americas","Latin America and the Caribbean","UM",4.5,6.9,-1.9,"yes","no"
"135","Micronesia, Federated States of","FSM","Oceania","Micronesia","LM",12.5,18.9,-20.9,"no","no"
"136","Moldova","MDA","Europe","Eastern Europe","UM",5.4,7.4,-9,"yes","no"
"137","Monaco","MCO","Europe","Western Europe","H",1.5,26.6,8.3,"no","yes"
"138","Mongolia","MNG","Asia","Eastern Asia","LM",4.1,16.8,-0.8,"no","no"
"139","Montenegro","MNE","Europe","Southern Europe","UM",.,29.4,-4.9,"no","no"
"140","Montserrat","MSR","Americas","Latin America and the Caribbean",.,8.8,.,0,.,"no"
"141","Morocco","MAR","Africa","Northern Africa","LM",.,22.2,-1.9,"no","no"
"142","Mozambique","MOZ","Africa","Sub-Saharan Africa","L",5.5,7.4,-1.7,"yes","no"
"143","Namibia","NAM","Africa","Sub-Saharan Africa","UM",3.1,38,0,"no","yes"
"144","Nauru","NRU","Oceania","Micronesia","H",.,26.6,-11.3,"no","no"
"145","Nepal","NPL","Asia","Southern Asia","LM",5.1,21.4,-3.1,"no","no"
"146","Netherlands","NLD","Europe","Western Europe","H",5.2,7.2,1.9,"yes","no"
"147","New Caledonia","NCL","Oceania","Melanesia","H",.,38.4,3.8,"no","yes"
"148","New Zealand","NZL","Oceania","Australia and New Zealand","H",6.3,11.5,8,"no","yes"
"149","Nicaragua","NIC","Americas","Latin America and the Caribbean","LM",4.4,8.5,-2.4,"yes","no"
